18,ingredient_name,water_g,dm_g,energy_kcal,protein_g,fat_g,ash_g,cho_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,iodine_mg,selenium_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_ug,choline_mg,vitamin_b12_ug,vitamin_a_iu,vitamin_e_mg,vitamin_d_iu,pufa_18_2_g,pufa_18_3_g,pufa_20_5_g,pufa_22_6_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g
1,boiled egg,74.6,25.4,610.236,49.606,41.732,4.252,4.409,0,196.85,4.685,39.37,677.165,496.063,488.189,4.134,0.051,0,0.121,0.26,2.02,0.252,5.512,0.476,0.173,1157.48,0.004370079,2047.244094,4.05511811,342.519685,4.68503937,0.137795276,0.019685039,0.149606299,0.602362205,2.377952756,2.700787402,4.251968504,3.559055118,1.543307087,1.149606299,2.62992126,2.019685039,3.019685039,2.972440945,1.2402
2,"kelp, dry",5,1.84,233.696,9.13,3.043,35.924,44.946,7.065,913.043,15.489,657.609,228.261,483.696,1266.304,6.685,0.707,103.261,0.004,0.272,0.815,2.554,3.489,0.011,0.978,69.565,0,630.4347826,4.72826087,0,0.108695652,0.02173913,0.02173913,0,0.260869565,0.298913043,0.413043478,0.451086957,0.445652174,0.135869565,0.532608696,0.233695652,0.141304348,0.391304348,0.35326087,0.2283
3,cod liver oil,0,11,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,10000,0.935,0.935,6.9,11,0,0,0,0,0,0,0,0,0,0,0,0
4,fish oil ,0,0,902,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.06,13,18.2,0,0,0,0,0,0,0,0,0,0,0,0
5,wheatgerm oil,0,24,884,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,54.8,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,brewer's yeast / dried yeast,5.08,11,342.394,42.562,8.017,5.952,15.065,28.34,31.606,2.286,56.89,671.091,1006.11,53.729,8.365,0.459,0,0.008,11.589,4.214,42.351,14.223,1.58,2.465,33.713,0.0737,0,0,0,0.01791,0,0,0,0.5689,2.09650232,1.991150442,3.076274758,3.455541509,0.621576064,0.526759376,1.843657817,1.19047619,2.433628319,2.138643068,1.064
7,salt,0.2,0.998,0,0,0,100,0,0,24.048,0,1.002,0,8.016,38877.756,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,oyster,85.1,14.9,456.3758389,47.38255034,16.57718121,9.530201342,26.24161074,0,302.0134228,44.96644295,362.4161074,932.885906,1536.912752,751.6778523,610.738255,29.93288591,3.020134228,0.240268456,1.006711409,1.11409396,8.322147651,1.208053691,0.637583893,0.060402685,543.6241611,0.128187919,2013.422819,5.704697987,6.711409396,0.32885906,0.248322148,1.416107383,1.530201342,0.530201342,2.040268456,2.060402685,3.33557047,3.543624161,1.067114094,0.624161074,1.697986577,1.516778523,2.067114094,3.456375839,1.1846
9,bone meal ,0,10,0,0,0,100,0,0,30000,0,286,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,dry blood meal ,0,12,328.694,93.897,2.034,3.319,0,0,331.906,220.557,214.133,224.839,385.439,386.51,2.463,1.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3474
11,mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,brazil nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,cottage cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,artichoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,beetroot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,bone broth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,egg yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
