id,ingredient_name,group_name,water_g,energy_kcal,protein_g,fat_g,ash_g,cho_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,iodine_mg,selenium_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_ug,choline_mg,vitamin_b12_ug,vitamin_a_iu,vitamin_e_mg,vitamin_d_iu,pufa_18_2_g,pufa_18_3_g,pufa_20_5_g,pufa_22_6_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g
119,"Chicken leg, meat and skin, no bones",Meat Group B,67.3,666.6666667,50.1529052,48.92966361,2.47706422,0.0,0.0,27.52293578,2.110091743,58.10397554,474.0061162,620.795107,256.8807339,4.495412844,0.165137615,0,0.055045872,0.22324159,0.431192661,14.4648318,3.039755352,0.972477064,0.012232416,0.0,0.001712538,281.3455657,0.672782875,6.116207951,9.143730887,0.474006116,0.0,0.0,0.52293578,2.229357798,2.26911315,4.006116208,4.403669725,1.342507645,0.577981651,1.929663609,1.755351682,2.348623853,3.486238532,
3,Rice bran,Fiber,6.13,336.6357729,14.27506125,22.15830404,10.63172473,30.57419836,22.37136465,60.72227549,19.70810696,832.0017045,1789.709172,1576.648557,5.326515394,6.434430596,0.775540641,0,0.016618728,2.929583466,0.302546074,36.22030468,7.872589752,4.33578353,67.114094,34.30275913,0.0,0.0,5.241291147,0.0,7.606263982,0.336635773,0.0,0.0,0.115052733,0.591243209,0.605092149,1.08660914,0.692447001,0.325982742,0.337701076,0.676467455,0.437839565,0.938532012,1.129221263,0.3569
4,Beef liver,Organ Meat (Liver),70.8,462.329,69.863,12.432,4.486,13.322,0.0,17.123,16.781,61.64383562,1325.342466,1071.917808,236.3013699,13.69863014,19.62,0,0.135958904,0.647260274,9.452054795,45.20547945,24.55479452,3.698630137,0.993150685,1140.410959,0.20382192,57876.71233,1.301369863,167.8082192,1.023972603,0.054794521,0.0,0.0,0.900684932,2.976027397,3.311643836,6.54109589,5.51369863,1.859589041,1.287671233,3.698630137,2.76369863,4.315068493,4.246575342,1.7466
5,Beef heart,Organ Meat,77.1,489.083,77.293,17.205,4.803,0.611,0.0,30.568,18.821,91.70305677,925.7641921,1253.275109,427.9475983,7.423580786,1.729257642,0,0.095196507,1.03930131,3.956331878,32.88209607,7.816593886,1.218340611,0.013100437,0.0,0.037336245,0.0,0.96069869,0.0,1.72489083,0.069868996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9323
6,Zucchini with skin,Vegetable A,94.8,326.923,23.269,6.154,11.154,40.577,19.231,307.692,7.115,346.1538462,730.7692308,5019.230769,153.8461538,6.153846154,1.019230769,0,0.003846154,0.865384615,1.807692308,8.673076923,3.923076923,3.134615385,0.461538462,182.6923077,0.0,3846.153846,2.307692308,0.0,0.576923077,1.173076923,0.0,0.0,0.192307692,0.557692308,0.846153846,1.365384615,1.288461538,0.346153846,0.230769231,0.826923077,0.615384615,1.038461538,0.980769231,0.5817
7,Spinach,Vegetable B,91.4,267.442,33.256,4.535,20.0,16.628,25.581,1151.163,31.512,918.6046512,569.7674419,6488.372093,918.6046512,6.162790698,1.511627907,0,0.011627907,0.906976744,2.197674419,8.418604651,0.755813953,2.26744186,2.255813953,224.4186047,0.0,109069.7674,23.60465116,0.0,0.302325581,1.604651163,0.0,0.0,0.453488372,1.418604651,1.709302326,2.593023256,2.023255814,0.61627907,0.406976744,1.5,1.255813953,1.872093023,1.88372093,0.8314
8,Almond oil,Oil,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Apple, with Skin",Fruit,85.6,361.111,1.806,1.181,1.319,79.167,16.667,41.667,0.833,34.72222222,76.38888889,743.0555556,6.944444444,0.277777778,0.1875,0,0.0,0.118055556,0.180555556,0.631944444,0.423611111,0.284722222,0.266666667,23.61111111,0.0,375.0,1.25,0.0,0.298611111,0.0625,0.0,0.0,0.006944444,0.041666667,0.041666667,0.090277778,0.083333333,0.006944444,0.006944444,0.041666667,0.006944444,0.083333333,0.041666667,0.0452
10,Blueberry,Fruit,84.2,360.759,4.684,2.089,1.519,76.582,15.19,37.975,1.772,37.97468354,75.94936709,487.3417722,6.329113924,1.012658228,0.360759494,0,0.000632911,0.234177215,0.259493671,2.64556962,0.784810127,0.329113924,0.007874016,37.97468354,0.0,341.7721519,3.607594937,0.0,0.556962025,0.367088608,0.0,0.0,0.018987342,0.126582278,0.14556962,0.278481013,0.082278481,0.075949367,0.050632911,0.164556962,0.056962025,0.196202532,0.234177215,0.1171
11,Psyllium husk,Fiber,0.0,0.0,0.0,0.0,2.0,0.0,78.0,184.0,8.6,23.9,111.0,967.0,74.0,0.29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
